C:\R1_New\data\se\skillvoice\voice_archer_atk_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_cannonshot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_coursing_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_coursing_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_detoxify_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_dummypheasant_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_dummypheasant_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_growling_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_growling_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_hounding_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_hounding_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_jincangu_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_pointing_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_pointing_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_praise_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_praise_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_retrieve_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_retrieve_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_rushdog_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_rushdog_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_siegeburst_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_siegeburst_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_snatching_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_snatching_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_sonicthrash_cast_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_sonicthrash_cast_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_throwgupot_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_wugushi_atk_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_f_wugushi_atk_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_fulldraw_cast.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_bounce_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_camouflage_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_cannonshot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_cannonshot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_cloaking_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_coursing_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_coursing_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_detoxify_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_dummypheasant_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_dummypheasant_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_fulldraw_cast.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_growling_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_hounding_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_hounding_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_jincangu_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_multishot_cast.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_oblique_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_pavise_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_pointing_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_pointing_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_praise_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_praise_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_rapidfire_cast.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_retrieve_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_retrieve_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_rushdog_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_rushdog_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_siegeburst_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_siegeburst_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_snatching_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_snatching_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_sonicthrash_cast_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_sonicthrash_cast_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_throwgupot_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_wugushi_atk_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_m_wugushi_atk_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_multishot_cast.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_oblique_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_pavise_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_archer_rapidfire_cast.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_long_f_10.wav, quality=0
C:\R1_New\data\se\skillvoice\voice_atk_long_f_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_long_f_4.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_long_f_5.wav, quality=0
C:\R1_New\data\se\skillvoice\voice_atk_long_f_6.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_long_f_8.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_long_f_9.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_1.wav, quality=0
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_10.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_4.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_5.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_6.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_7.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_8.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_medium_f_9.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_10.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_11.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_12.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_13.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_14.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_4.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_5.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_6.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_7.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_8.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_atk_short_f_9.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_blk_war_f1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_blk_war_f2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_buff_war_f1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_arcaneenergy_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_arcaneenergy_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_aspergillum_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_aspergillum_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_aspersion_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_aspersion_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_astralbodyexplosion_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_astralbodyexplosion_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_aukuras_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_aukuras_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_aukuras_shot_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_ayinsof_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_ayinsof_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_barrier_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_barrier_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_begondemon_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_begondemon_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_begondemon_shot_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_blessing_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_blessing_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_bloodletting_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_bwakayiman_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_bwakayiman_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_callofdeities_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_callofdeities_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_capsulizezombie_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_capsulizezombie_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_carnivory_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_carnivory_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_chanceformultiplehits_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_chanceformultiplehits_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_change_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_change_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_chortasmata_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_chortasmata_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_chortasmata_shot_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_clairvoyance_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_clairvoyance_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_clone_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_clone_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_conversion_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_conversion_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_conviction_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_conviction_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_counterspell_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_counterspell_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_cure_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_cure_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_daino_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_daino_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_damballa_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_damballa_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_deathsverdict_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_deathsverdict_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_deprotectedzone_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_deprotectedzone_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_disenchant_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_disenchant_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_divinemight_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_divinemight_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_divinemight_shot_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_divinestigma_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_divinestigma_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_doublelockspunch_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_effigy_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_effigy_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_exorcise_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_exorcise_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_fade_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_fade_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_forecast_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_forecast_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_foretell_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_foretell_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_fumigate_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_gematria_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_gematria_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_godfingerflicking_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_godfingerflicking_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_godfingerflicking_shot_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_goldenbellshield_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_goldenbellshield_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_heal_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_heal_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_heal_shot_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_healingfactor_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_healingfactor_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_hengestone_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_hengestone_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_hexing_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_hexing_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_inchpunch_cast_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_inchpunch_cast_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_inchpunch_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_inchpunch_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_incineration_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_incineration_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_increasemagicdef_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_indulgentia_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_indulgentia_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_ironcloth_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_ironcloth_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_irongravelpalm_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_irongravelpalm_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_irongravelpalm_shot_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_mackangdal_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_mackangdal_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_massheal_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_massheal_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_melstis_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_melstis_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_melstis_shot_3.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_merkabah_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_merkabah_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_monstrance_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_monstrance_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_nachash_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_nachash_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_notarikon_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_notarikon_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_ogouveve_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_ogouveve_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_outofbody_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_outofbody_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_palmofgoddess_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_pandemic_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_pandemic_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_parkayapravesh_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_patronsaint_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_patronsaint_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_possession_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_prakriti_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_prophery_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_prophery_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_reduce_level_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_reduce_level_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_resetting_shot.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_resistelements_shot_1.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_resistelements_shot_2.wav, quality=0, fsound_loop_off
C:\R1_New\data\se\skillvoice\voice_cleric_f_restoration_shot_1.wav, quality=0, fsound_loop_off
