ClassID,GenType,Lv,Range,GenRange,RespawnTime,MaxPop,Minimap,Hide,UseAIOufOfPC,P_MaxDialog,AnchorCount,UP_ReturnRange,ClassType,Name,UniqueName,QuestName,Tag,Tactics,BTree,SimpleAI,Dialog,Enter,Leave,Save,OnlyPCCheck,SmartGen,Faction,ArgStr1,ArgStr2,ArgStr3,Tendency
39,39,0,40,30,60000,15,0,0,0,0,0,0,"ticen_mage_blue","","","","","","","","","","","NO","YES","NO","Monster","SmartGen","","","Attack"
40,40,1,40,1,60000,1,0,0,0,0,0,0,"noshadow_npc","숨겨진 장소","","","","MON_DUMMY","","TO_VELNIASP511_PORTAL","UNDER66_TO_UNDER65_SECRET_ROOM","","","NO","YES","NO","Neutral","","","",""
41,41,1,40,1,60000,1,1,0,0,0,0,0,"mon_paladin_follower1_2","루클리스 부대 장교의 영혼","","","","","","ALPHABLANDER_NPC","UNDER66_MQ07_GHOST","","","NO","YES","NO","Neutral","","","",""
42,42,1,40,1,60000,1,1,0,0,0,0,0,"soldier7","왕국군 경비병","","","","","","","UNDER66_GUADIAN_WARDEN","","","NO","YES","NO","Neutral","","","",""
43,43,1,40,1,60000,2,1,0,0,0,1,0,"soldier7","왕국군 경비병","","","","","","","UNDER66_MQ05_WARDEN","","","NO","YES","NO","Neutral","","","",""
44,44,1,40,1,60000,4,0,0,0,0,1,0,"npc_flash_soldier_05","석화된 왕국군 경비병","","","","","","","","FLASH_SOLDIER01","","NO","YES","NO","Neutral","","","",""
45,45,1,40,1,60000,1,0,0,0,0,0,0,"npc_flash_soldier_03","석화된 왕국군 경비병","","","","","","","","FLASH_SOLDIER02","","NO","YES","NO","Neutral","","","",""
46,46,1,40,1,60000,1,0,0,0,0,0,0,"npc_flash_soldier_02","석화된 왕국군 경비병","","","","","","","","FLASH_SOLDIER03","","NO","YES","NO","Neutral","","","",""
47,47,1,40,1,60000,1,0,0,0,0,0,0,"npc_flash_soldier_04","석화된 왕국군 경비병","","","","","","","","FLASH_SOLDIER04","","NO","YES","NO","Neutral","","","",""
48,48,1,40,1,60000,1,1,0,0,0,0,0,"npc_historian_odel_2","[아만다 도굴단]{nl}      아만다","","","","","","","AMANDA_66_3","","","NO","YES","NO","Neutral","","","",""
49,49,1,40,1,60000,1,0,0,0,0,0,0,"HiddenTrigger4","UnvisibleName","","","","","","","UNDER66_BONB_SETUP06","","","NO","YES","NO","Neutral","","","",""
50,50,1,40,1,60000,1,0,0,0,0,0,0,"HiddenTrigger4","UnvisibleName","","","","","","","UNDER66_BONB_SETUP07","","","NO","YES","NO","Neutral","","","",""
51,51,1,40,1,60000,1,0,0,0,0,0,0,"HiddenTrigger4","UnvisibleName","","","","","","","UNDER66_BONB_SETUP08","","","NO","YES","NO","Neutral","","","",""
52,52,1,40,1,60000,1,0,0,0,0,0,0,"HiddenTrigger4","UnvisibleName","","","","","","","UNDER66_BONB_SETUP09","","","NO","YES","NO","Neutral","","","",""
53,53,1,40,1,60000,1,0,0,0,0,0,0,"pcskill_stake_stockades","UnvisibleName","","","","","","","","UNDER66_BONB06","","NO","YES","NO","Neutral","","","",""
54,54,1,40,1,60000,1,0,0,0,0,0,0,"pcskill_stake_stockades","UnvisibleName","","","","","","","","UNDER66_BONB07","","NO","YES","NO","Neutral","","","",""
55,55,1,40,1,60000,1,0,0,0,0,0,0,"pcskill_stake_stockades","UnvisibleName","","","","","","","","UNDER66_BONB08","","NO","YES","NO","Neutral","","","",""
56,56,1,40,1,60000,1,0,0,0,0,0,0,"pcskill_stake_stockades","UnvisibleName","","","","","","","","UNDER66_BONB09","","NO","YES","NO","Neutral","","","",""
57,57,1,40,1,20000,15,0,0,0,0,1,0,"rootcrystal_05","","","","","MON_TORCH","","","","","","NO","YES","NO","RootCrystal","","","",""
