ClassID,GuildLv,Lv,Cost,PlayerCnt,TimeLimit,StartWaitSec,ClassName,Name,EventType,StartMap,StarWarp,MGame,SummaryInfo,DetailInfo,TxtInfo,BossName,StartNPC,StageLoc_1,StageTrack_1,StageInfo_1,StageLoc_2,StageTrack_2,StageInfo_2,StageLoc_3,StageTrack_3,StageInfo_3,StageLoc_4,StageTrack_4,StageInfo_4,StageLoc_5,StageTrack_5,StageInfo_5,StageLoc_6,StageTrack_6,StageInfo_6,StageLoc_7,StageTrack_7,StageInfo_7,StageLoc_8,StageTrack_8,StageInfo_8,StageLoc_9,StageTrack_9,StageInfo_9,StageLoc_10,StageTrack_10,StageInfo_10
1008,0,1,1,0,3600,300,"GFB_SAMPLE_9","샐러맨더 처치","FBOSS","d_prison_62_2","","","샐러맨더 처치","샐러맨더 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_salamander","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1009,0,1,1,0,3600,300,"GFB_SAMPLE_10","일티스워트 처치","FBOSS","f_bracken_63_3","","","일티스워트 처치","일티스워트 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Iltiswort","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1010,0,1,1,0,3600,300,"GFB_SAMPLE_11","데블글로브 처치","FBOSS","d_abbey_64_3","","","데블글로브 처치","데블글로브 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Devilglove","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1011,0,1,1,0,3600,300,"GFB_SAMPLE_12","콜리멘시아 처치","FBOSS","f_3cmlake_84","","","콜리멘시아 처치","콜리멘시아 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Colimencia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1012,0,1,1,0,3600,300,"GFB_SAMPLE_13","덴옵틱 처치","FBOSS","f_castle_65_3","","","덴옵틱 처치","덴옵틱 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Denoptic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1013,0,1,1,0,3600,300,"GFB_SAMPLE_14","모스템 처치","FBOSS","f_rokas_36_1","","","모스템 처치","모스템 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Mothstem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1014,0,1,1,0,3600,300,"GFB_SAMPLE_15","푸른 우드스피릿 처치","FBOSS","f_katyn_14","","","푸른 우드스피릿 처치","푸른 우드스피릿 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_woodspirit_blue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1015,0,1,1,0,3600,300,"GFB_SAMPLE_16","파이어로드 처치","FBOSS","d_firetower_42","","","파이어로드 처치","파이어로드 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Fireload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1016,0,1,1,0,3600,300,"GFB_SAMPLE_17","요나졸렘 처치","FBOSS","f_pilgrimroad_52","","","요나졸렘 처치","요나졸렘 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_yonazolem","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1017,0,1,1,0,3600,300,"GFB_SAMPLE_18","가이갈라스 처치","FBOSS","f_farm_49_2","","","가이갈라스 처치","가이갈라스 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Gaigalas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1018,0,1,1,0,3600,300,"GFB_SAMPLE_19","허니핀 처치","FBOSS","f_siauliai_46_4","","","허니핀 처치","허니핀 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_honeypin","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1019,0,1,1,0,3600,300,"GFB_SAMPLE_20","매그버크 처치","FBOSS","f_remains_37_1","","","매그버크 처치","매그버크 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_MagBurk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1020,0,1,1,0,3600,300,"GFB_SAMPLE_21","리버피드 처치","FBOSS","f_remains_37_3","","","리버피드 처치","리버피드 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Reaverpede","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1021,0,1,1,0,3600,300,"GFB_SAMPLE_22","글락쿠만 처치","FBOSS","f_flash_61","","","글락쿠만 처치","글락쿠만 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Glackuman","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1022,0,1,1,0,3600,300,"GFB_SAMPLE_23","듀라한 처치","FBOSS","d_underfortress_65","","","듀라한 처치","듀라한 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_durahan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1023,0,1,1,0,3600,300,"GFB_SAMPLE_24","살티스터 처치","FBOSS","f_tableland_28_2","","","살티스터 처치","살티스터 처치","GID_SAMPLE_TXTINFO_1","GDB_boss_Saltistter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2000,5,1,1,30,7200,300,"GR_SAMPLE_1","다시 찾아온 위기(테넷 화원)","RAID","f_gele_57_4","","","길드레이드 샘플","길드레이드 샘플","GID_SAMPLE_TXTINFO_1","","","f_gele_57_4 -138 -80 558","GR_SAMPLE_1_P1_MINI","","d_chapel_57_5 -1197 0 1008","GR_SAMPLE_1_P2_MINI","","d_chapel_57_5 558 -39 420","GR_SAMPLE_1_P3_MINI","","d_chapel_57_5 -66 0 -303","GR_SAMPLE_1_P4_MINI","","d_chapel_57_6 600 -7 437","GR_SAMPLE_1_P5_MINI","","d_chapel_57_6 -526 10 449","GR_SAMPLE_1_P6_MINI","","d_chapel_57_7 -340 35 -966","GR_SAMPLE_1_P7_MINI","","","","","","","","","",""
2001,0,1,1,30,0,300,"GR_SAMPLE_2","불량품의 난동(카롤리스 샘터)","RAID","f_katyn_10","","","길드레이드 샘플","길드레이드 샘플","GID_SAMPLE_TXTINFO_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2002,0,1,1,30,0,300,"GR_SAMPLE_3","잊혀진 곳에서(틸타스 협곡)","RAID","f_rokas_28","","","길드레이드 샘플","길드레이드 샘플","GID_SAMPLE_TXTINFO_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2003,0,1,1,30,0,300,"GR_SAMPLE_4","길드레이드 샘플(수로교 지역)","RAID","f_farm_47_2","","","길드레이드 샘플","길드레이드 샘플","GID_SAMPLE_TXTINFO_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2004,0,1,1,30,0,300,"GR_SAMPLE_5","길드레이드 샘플(본당)","RAID","d_cathedral_53","","","길드레이드 샘플","길드레이드 샘플","GID_SAMPLE_TXTINFO_1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
