ClassID,MHP_LV,MHP_CON,MSP_LV,MSP_INT,ATK,ATK_STR,DEF,HR,HR_DEX,DR,DR_DEX,CRTHR_DEX,CRTHR,CRTDR_DEX,CRTDR
36,1814,838,2074,1026,0,36,0,345,0,0,70,48,0,0,468
37,1857,861,2126,1054,0,37,0,355,0,0,72,49,0,0,480
38,1900,885,2177,1083,0,38,0,364,0,0,74,50,0,0,492
39,1943,908,2228,1111,0,39,0,374,0,0,76,52,0,0,504
40,1985,931,2280,1140,0,40,0,384,0,0,78,53,0,0,516
41,2028,954,2331,1168,0,41,0,393,0,0,80,54,0,0,528
42,2071,978,2382,1197,0,42,0,403,0,0,82,56,0,0,540
43,2114,1001,2433,1225,0,43,0,412,0,0,84,57,0,0,552
44,2156,1024,2485,1254,0,44,0,422,0,0,86,58,0,0,564
45,2199,1048,2536,1282,0,45,0,432,0,0,88,59,0,0,576
46,2242,1071,2587,1311,0,46,0,441,0,0,90,61,0,0,588
47,2285,1094,2639,1339,0,47,0,451,0,0,92,62,0,0,600
48,2327,1117,2690,1368,0,48,0,460,0,0,94,63,0,0,612
49,2370,1141,2741,1396,0,49,0,470,0,0,96,64,0,0,624
50,2413,1164,2793,1425,0,50,0,480,0,0,98,66,0,0,636
51,2456,1187,2844,1453,0,51,0,489,0,0,100,67,0,0,648
52,2498,1211,2895,1482,0,52,0,499,0,0,102,68,0,0,660
53,2541,1234,2946,1510,0,53,0,508,0,0,104,70,0,0,672
54,2584,1257,2998,1539,0,54,0,518,0,0,106,71,0,0,684
55,2627,1281,3049,1567,0,55,0,528,0,0,108,72,0,0,696
56,2669,1304,3100,1596,0,56,0,537,0,0,110,73,0,0,708
57,2712,1327,3152,1624,0,57,0,547,0,0,112,75,0,0,720
58,2755,1350,3203,1653,0,58,0,556,0,0,114,76,0,0,732
59,2798,1374,3254,1681,0,59,0,566,0,0,116,77,0,0,744
60,2840,1397,3306,1710,0,60,0,576,0,0,118,78,0,0,756
61,2883,1420,3357,1738,0,61,0,585,0,0,120,80,0,0,768
62,2926,1444,3408,1767,0,62,0,595,0,0,122,81,0,0,780
63,2969,1467,3459,1795,0,63,0,604,0,0,124,82,0,0,792
64,3011,1490,3511,1824,0,64,0,614,0,0,126,84,0,0,804
65,3054,1513,3562,1852,0,65,0,624,0,0,128,85,0,0,816
66,3097,1537,3613,1881,0,66,0,633,0,0,130,86,0,0,828
67,3140,1560,3665,1909,0,67,0,643,0,0,132,87,0,0,840
68,3182,1583,3716,1938,0,68,0,652,0,0,134,89,0,0,852
69,3225,1607,3767,1966,0,69,0,662,0,0,136,90,0,0,864
70,3268,1630,3819,1995,0,70,0,672,0,0,138,91,0,0,876
71,3311,1653,3870,2023,0,71,0,681,0,0,140,92,0,0,888
72,3353,1676,3921,2052,0,72,0,691,0,0,142,94,0,0,900
73,3396,1700,3972,2080,0,73,0,700,0,0,144,95,0,0,912
74,3439,1723,4024,2109,0,74,0,710,0,0,146,96,0,0,924
75,3482,1746,4075,2137,0,75,0,720,0,0,148,98,0,0,936
76,3524,1770,4126,2166,0,76,0,729,0,0,150,99,0,0,948
77,3567,1793,4178,2194,0,77,0,739,0,0,152,100,0,0,960
78,3610,1816,4229,2223,0,78,0,748,0,0,154,101,0,0,972
79,3653,1839,4280,2251,0,79,0,758,0,0,156,103,0,0,984
80,3695,1863,4332,2280,0,80,0,768,0,0,158,104,0,0,996
81,3738,1886,4383,2308,0,81,0,777,0,0,160,105,0,0,1008
82,3781,1909,4434,2337,0,82,0,787,0,0,162,107,0,0,1020
83,3824,1933,4485,2365,0,83,0,796,0,0,164,108,0,0,1032
84,3866,1956,4537,2394,0,84,0,806,0,0,166,109,0,0,1044
85,3909,1979,4588,2422,0,85,0,816,0,0,168,110,0,0,1056
86,3952,2003,4639,2451,0,86,0,825,0,0,170,112,0,0,1068
87,3995,2026,4691,2479,0,87,0,835,0,0,172,113,0,0,1080
88,4037,2049,4742,2508,0,88,0,844,0,0,174,114,0,0,1092
89,4080,2072,4793,2536,0,89,0,854,0,0,176,115,0,0,1104
90,4123,2096,4845,2565,0,90,0,864,0,0,178,117,0,0,1116
91,4166,2119,4896,2593,0,91,0,873,0,0,180,118,0,0,1128
92,4208,2142,4947,2622,0,92,0,883,0,0,182,119,0,0,1140
93,4251,2166,4998,2650,0,93,0,892,0,0,184,121,0,0,1152
94,4294,2189,5050,2679,0,94,0,902,0,0,186,122,0,0,1164
95,4337,2212,5101,2707,0,95,0,912,0,0,188,123,0,0,1176
96,4379,2235,5152,2736,0,96,0,921,0,0,190,124,0,0,1188
97,4422,2259,5204,2764,0,97,0,931,0,0,192,126,0,0,1200
98,4465,2282,5255,2793,0,98,0,940,0,0,194,127,0,0,1212
99,4508,2305,5306,2821,0,99,0,950,0,0,196,128,0,0,1224
100,4550,2329,5358,2850,0,100,0,960,0,0,198,129,0,0,1236
101,4593,2352,5409,2878,0,101,0,969,0,0,200,131,0,0,1248
102,4636,2375,5460,2907,0,102,0,979,0,0,202,132,0,0,1260
103,4679,2398,5511,2935,0,103,0,988,0,0,204,133,0,0,1272
104,4721,2422,5563,2964,0,104,0,998,0,0,206,135,0,0,1284
105,4764,2445,5614,2992,0,105,0,1008,0,0,208,136,0,0,1296
106,4807,2468,5665,3021,0,106,0,1017,0,0,210,137,0,0,1308
107,4850,2492,5717,3049,0,107,0,1027,0,0,212,138,0,0,1320
108,4892,2515,5768,3078,0,108,0,1036,0,0,214,140,0,0,1332
109,4935,2538,5819,3106,0,109,0,1046,0,0,216,141,0,0,1344
110,4978,2562,5871,3135,0,110,0,1056,0,0,218,142,0,0,1356
111,5021,2585,5922,3163,0,111,0,1065,0,0,220,143,0,0,1368
112,5063,2608,5973,3192,0,112,0,1075,0,0,222,145,0,0,1380
113,5106,2631,6024,3220,0,113,0,1084,0,0,224,146,0,0,1392
114,5149,2655,6076,3249,0,114,0,1094,0,0,226,147,0,0,1404
115,5192,2678,6127,3277,0,115,0,1104,0,0,228,149,0,0,1416
116,5234,2701,6178,3306,0,116,0,1113,0,0,230,150,0,0,1428
117,5277,2725,6230,3334,0,117,0,1123,0,0,232,151,0,0,1440
118,5320,2748,6281,3363,0,118,0,1132,0,0,234,152,0,0,1452
119,5363,2771,6332,3391,0,119,0,1142,0,0,236,154,0,0,1464
120,5405,2794,6384,3420,0,120,0,1152,0,0,238,155,0,0,1476
121,5448,2818,6435,3448,0,121,0,1161,0,0,240,156,0,0,1488
122,5491,2841,6486,3477,0,122,0,1171,0,0,242,157,0,0,1500
123,5534,2864,6537,3505,0,123,0,1180,0,0,244,159,0,0,1512
124,5576,2888,6589,3534,0,124,0,1190,0,0,246,160,0,0,1524
125,5619,2911,6640,3562,0,125,0,1200,0,0,248,161,0,0,1536
126,5662,2934,6691,3591,0,126,0,1209,0,0,250,163,0,0,1548
127,5705,2957,6743,3619,0,127,0,1219,0,0,252,164,0,0,1560
128,5747,2981,6794,3648,0,128,0,1228,0,0,254,165,0,0,1572
129,5790,3004,6845,3676,0,129,0,1238,0,0,256,166,0,0,1584
130,5833,3027,6897,3705,0,130,0,1248,0,0,258,168,0,0,1596
131,5876,3051,6948,3733,0,131,0,1257,0,0,260,169,0,0,1608
132,5918,3074,6999,3762,0,132,0,1267,0,0,262,170,0,0,1620
133,5961,3097,7050,3790,0,133,0,1276,0,0,264,171,0,0,1632
134,6004,3120,7102,3819,0,134,0,1286,0,0,266,173,0,0,1644
135,6047,3144,7153,3847,0,135,0,1296,0,0,268,174,0,0,1656
136,6089,3167,7204,3876,0,136,0,1305,0,0,270,175,0,0,1668
137,6132,3190,7256,3904,0,137,0,1315,0,0,272,177,0,0,1680
138,6175,3214,7307,3933,0,138,0,1324,0,0,274,178,0,0,1692
139,6218,3237,7358,3961,0,139,0,1334,0,0,276,179,0,0,1704
140,6260,3260,7410,3990,0,140,0,1344,0,0,278,180,0,0,1716
141,6303,3284,7461,4018,0,141,0,1353,0,0,280,182,0,0,1728
142,6346,3307,7512,4047,0,142,0,1363,0,0,282,183,0,0,1740
143,6389,3330,7563,4075,0,143,0,1372,0,0,284,184,0,0,1752
144,6431,3353,7615,4104,0,144,0,1382,0,0,286,185,0,0,1764
145,6474,3377,7666,4132,0,145,0,1392,0,0,288,187,0,0,1776
146,6517,3400,7717,4161,0,146,0,1401,0,0,290,188,0,0,1788
147,6560,3423,7769,4189,0,147,0,1411,0,0,292,189,0,0,1800
148,6602,3447,7820,4218,0,148,0,1420,0,0,294,191,0,0,1812
149,6645,3470,7871,4246,0,149,0,1430,0,0,296,192,0,0,1824
150,6688,3493,7923,4275,0,150,0,1440,0,0,298,193,0,0,1836
151,6731,3516,7974,4303,0,151,0,1449,0,0,300,194,0,0,1848
152,6773,3540,8025,4332,0,152,0,1459,0,0,302,196,0,0,1860
153,6816,3563,8076,4360,0,153,0,1468,0,0,304,197,0,0,1872
154,6859,3586,8128,4389,0,154,0,1478,0,0,306,198,0,0,1884
155,6902,3610,8179,4417,0,155,0,1488,0,0,308,200,0,0,1896
156,6944,3633,8230,4446,0,156,0,1497,0,0,310,201,0,0,1908
157,6987,3656,8282,4474,0,157,0,1507,0,0,312,202,0,0,1920
158,7030,3679,8333,4503,0,158,0,1516,0,0,314,203,0,0,1932
159,7073,3703,8384,4531,0,159,0,1526,0,0,316,205,0,0,1944
160,7115,3726,8436,4560,0,160,0,1536,0,0,318,206,0,0,1956
161,7158,3749,8487,4588,0,161,0,1545,0,0,320,207,0,0,1968
162,7201,3773,8538,4617,0,162,0,1555,0,0,322,208,0,0,1980
163,7244,3796,8589,4645,0,163,0,1564,0,0,324,210,0,0,1992
164,7286,3819,8641,4674,0,164,0,1574,0,0,326,211,0,0,2004
165,7329,3843,8692,4702,0,165,0,1584,0,0,328,212,0,0,2016
166,7372,3866,8743,4731,0,166,0,1593,0,0,330,214,0,0,2028
167,7415,3889,8795,4759,0,167,0,1603,0,0,332,215,0,0,2040
168,7457,3912,8846,4788,0,168,0,1612,0,0,334,216,0,0,2052
169,7500,3936,8897,4816,0,169,0,1622,0,0,336,217,0,0,2064
170,7543,3959,8949,4845,0,170,0,1632,0,0,338,219,0,0,2076
171,7586,3982,9000,4873,0,171,0,1641,0,0,340,220,0,0,2088
172,7628,4006,9051,4902,0,172,0,1651,0,0,342,221,0,0,2100
173,7671,4029,9102,4930,0,173,0,1660,0,0,344,222,0,0,2112
174,7714,4052,9154,4959,0,174,0,1670,0,0,346,224,0,0,2124
175,7757,4075,9205,4987,0,175,0,1680,0,0,348,225,0,0,2136
176,7799,4099,9256,5016,0,176,0,1689,0,0,350,226,0,0,2148
177,7842,4122,9308,5044,0,177,0,1699,0,0,352,228,0,0,2160
178,7885,4145,9359,5073,0,178,0,1708,0,0,354,229,0,0,2172
179,7928,4169,9410,5101,0,179,0,1718,0,0,356,230,0,0,2184
180,7970,4192,9462,5130,0,180,0,1728,0,0,358,231,0,0,2196
181,8013,4215,9513,5158,0,181,0,1737,0,0,360,233,0,0,2208
182,8056,4238,9564,5187,0,182,0,1747,0,0,362,234,0,0,2220
183,8099,4262,9615,5215,0,183,0,1756,0,0,364,235,0,0,2232
184,8141,4285,9667,5244,0,184,0,1766,0,0,366,236,0,0,2244
185,8184,4308,9718,5272,0,185,0,1776,0,0,368,238,0,0,2256
186,8227,4332,9769,5301,0,186,0,1785,0,0,370,239,0,0,2268
187,8270,4355,9821,5329,0,187,0,1795,0,0,372,240,0,0,2280
188,8312,4378,9872,5358,0,188,0,1804,0,0,374,242,0,0,2292
189,8355,4401,9923,5386,0,189,0,1814,0,0,376,243,0,0,2304
190,8398,4425,9975,5415,0,190,0,1824,0,0,378,244,0,0,2316
191,8441,4448,10026,5443,0,191,0,1833,0,0,380,245,0,0,2328
192,8483,4471,10077,5472,0,192,0,1843,0,0,382,247,0,0,2340
193,8526,4495,10128,5500,0,193,0,1852,0,0,384,248,0,0,2352
194,8569,4518,10180,5529,0,194,0,1862,0,0,386,249,0,0,2364
195,8612,4541,10231,5557,0,195,0,1872,0,0,388,250,0,0,2376
196,8654,4565,10282,5586,0,196,0,1881,0,0,390,252,0,0,2388
197,8697,4588,10334,5614,0,197,0,1891,0,0,392,253,0,0,2400
198,8740,4611,10385,5643,0,198,0,1900,0,0,394,254,0,0,2412
199,8783,4634,10436,5671,0,199,0,1910,0,0,396,256,0,0,2424
200,8825,4658,10488,5700,0,200,0,1920,0,0,398,257,0,0,2436
201,8868,4681,10539,5728,0,201,0,1929,0,0,400,258,0,0,2448
202,8911,4704,10590,5757,0,202,0,1939,0,0,402,259,0,0,2460
203,8954,4728,10641,5785,0,203,0,1948,0,0,404,261,0,0,2472
204,8996,4751,10693,5814,0,204,0,1958,0,0,406,262,0,0,2484
205,9039,4774,10744,5842,0,205,0,1968,0,0,408,263,0,0,2496
206,9082,4797,10795,5871,0,206,0,1977,0,0,410,264,0,0,2508
207,9125,4821,10847,5899,0,207,0,1987,0,0,412,266,0,0,2520
208,9167,4844,10898,5928,0,208,0,1996,0,0,414,267,0,0,2532
209,9210,4867,10949,5956,0,209,0,2006,0,0,416,268,0,0,2544
210,9253,4891,11001,5985,0,210,0,2016,0,0,418,270,0,0,2556
211,9296,4914,11052,6013,0,211,0,2025,0,0,420,271,0,0,2568
212,9338,4937,11103,6042,0,212,0,2035,0,0,422,272,0,0,2580
213,9381,4960,11154,6070,0,213,0,2044,0,0,424,273,0,0,2592
214,9424,4984,11206,6099,0,214,0,2054,0,0,426,275,0,0,2604
215,9467,5007,11257,6127,0,215,0,2064,0,0,428,276,0,0,2616
216,9509,5030,11308,6156,0,216,0,2073,0,0,430,277,0,0,2628
217,9552,5054,11360,6184,0,217,0,2083,0,0,432,278,0,0,2640
218,9595,5077,11411,6213,0,218,0,2092,0,0,434,280,0,0,2652
219,9638,5100,11462,6241,0,219,0,2102,0,0,436,281,0,0,2664
220,9680,5124,11514,6270,0,220,0,2112,0,0,438,282,0,0,2676
221,9723,5147,11565,6298,0,221,0,2121,0,0,440,284,0,0,2688
222,9766,5170,11616,6327,0,222,0,2131,0,0,442,285,0,0,2700
223,9809,5193,11667,6355,0,223,0,2140,0,0,444,286,0,0,2712
224,9851,5217,11719,6384,0,224,0,2150,0,0,446,287,0,0,2724
225,9894,5240,11770,6412,0,225,0,2160,0,0,448,289,0,0,2736
226,9937,5263,11821,6441,0,226,0,2169,0,0,450,290,0,0,2748
227,9980,5287,11873,6469,0,227,0,2179,0,0,452,291,0,0,2760
228,10022,5310,11924,6498,0,228,0,2188,0,0,454,292,0,0,2772
229,10065,5333,11975,6526,0,229,0,2198,0,0,456,294,0,0,2784
230,10108,5356,12027,6555,0,230,0,2208,0,0,458,295,0,0,2796
231,10151,5380,12078,6583,0,231,0,2217,0,0,460,296,0,0,2808
232,10193,5403,12129,6612,0,232,0,2227,0,0,462,298,0,0,2820
233,10236,5426,12180,6640,0,233,0,2236,0,0,464,299,0,0,2832
234,10279,5450,12232,6669,0,234,0,2246,0,0,466,300,0,0,2844
235,10322,5473,12283,6697,0,235,0,2256,0,0,468,301,0,0,2856
236,10364,5496,12334,6726,0,236,0,2265,0,0,470,303,0,0,2868
237,10407,5519,12386,6754,0,237,0,2275,0,0,472,304,0,0,2880
238,10450,5543,12437,6783,0,238,0,2284,0,0,474,305,0,0,2892
239,10493,5566,12488,6811,0,239,0,2294,0,0,476,307,0,0,2904
240,10535,5589,12540,6840,0,240,0,2304,0,0,478,308,0,0,2916
241,10578,5613,12591,6868,0,241,0,2313,0,0,480,309,0,0,2928
242,10621,5636,12642,6897,0,242,0,2323,0,0,482,310,0,0,2940
243,10664,5659,12693,6925,0,243,0,2332,0,0,484,312,0,0,2952
244,10706,5682,12745,6954,0,244,0,2342,0,0,486,313,0,0,2964
245,10749,5706,12796,6982,0,245,0,2352,0,0,488,314,0,0,2976
246,10792,5729,12847,7011,0,246,0,2361,0,0,490,315,0,0,2988
247,10835,5752,12899,7039,0,247,0,2371,0,0,492,317,0,0,3000
248,10877,5776,12950,7068,0,248,0,2380,0,0,494,318,0,0,3012
249,10920,5799,13001,7096,0,249,0,2390,0,0,496,319,0,0,3024
250,10963,5822,13053,7125,0,250,0,2400,0,0,498,321,0,0,3036
251,11006,5846,13104,7153,0,251,0,2409,0,0,500,322,0,0,3048
252,11048,5869,13155,7182,0,252,0,2419,0,0,502,323,0,0,3060
253,11091,5892,13206,7210,0,253,0,2428,0,0,504,324,0,0,3072
254,11134,5915,13258,7239,0,254,0,2438,0,0,506,326,0,0,3084
255,11177,5939,13309,7267,0,255,0,2448,0,0,508,327,0,0,3096
256,11219,5962,13360,7296,0,256,0,2457,0,0,510,328,0,0,3108
257,11262,5985,13412,7324,0,257,0,2467,0,0,512,329,0,0,3120
258,11305,6009,13463,7353,0,258,0,2476,0,0,514,331,0,0,3132
259,11348,6032,13514,7381,0,259,0,2486,0,0,516,332,0,0,3144
260,11390,6055,13566,7410,0,260,0,2496,0,0,518,333,0,0,3156
261,11433,6078,13617,7438,0,261,0,2505,0,0,520,335,0,0,3168
262,11476,6102,13668,7467,0,262,0,2515,0,0,522,336,0,0,3180
263,11519,6125,13719,7495,0,263,0,2524,0,0,524,337,0,0,3192
264,11561,6148,13771,7524,0,264,0,2534,0,0,526,338,0,0,3204
265,11604,6172,13822,7552,0,265,0,2544,0,0,528,340,0,0,3216
266,11647,6195,13873,7581,0,266,0,2553,0,0,530,341,0,0,3228
267,11690,6218,13925,7609,0,267,0,2563,0,0,532,342,0,0,3240
268,11732,6241,13976,7638,0,268,0,2572,0,0,534,343,0,0,3252
269,11775,6265,14027,7666,0,269,0,2582,0,0,536,345,0,0,3264
270,11818,6288,14079,7695,0,270,0,2592,0,0,538,346,0,0,3276
271,11861,6311,14130,7723,0,271,0,2601,0,0,540,347,0,0,3288
272,11903,6335,14181,7752,0,272,0,2611,0,0,542,349,0,0,3300
273,11946,6358,14232,7780,0,273,0,2620,0,0,544,350,0,0,3312
274,11989,6381,14284,7809,0,274,0,2630,0,0,546,351,0,0,3324
275,12032,6405,14335,7837,0,275,0,2640,0,0,548,352,0,0,3336
276,12074,6428,14386,7866,0,276,0,2649,0,0,550,354,0,0,3348
277,12117,6451,14438,7894,0,277,0,2659,0,0,552,355,0,0,3360
278,12160,6474,14489,7923,0,278,0,2668,0,0,554,356,0,0,3372
279,12203,6498,14540,7951,0,279,0,2678,0,0,556,357,0,0,3384
280,12245,6521,14592,7980,0,280,0,2688,0,0,558,359,0,0,3396
281,12288,6544,14643,8008,0,281,0,2697,0,0,560,360,0,0,3408
282,12331,6568,14694,8037,0,282,0,2707,0,0,562,361,0,0,3420
283,12374,6591,14745,8065,0,283,0,2716,0,0,564,363,0,0,3432
284,12416,6614,14797,8094,0,284,0,2726,0,0,566,364,0,0,3444
285,12459,6637,14848,8122,0,285,0,2736,0,0,568,365,0,0,3456
286,12502,6661,14899,8151,0,286,0,2745,0,0,570,366,0,0,3468
287,12545,6684,14951,8179,0,287,0,2755,0,0,572,368,0,0,3480
288,12587,6707,15002,8208,0,288,0,2764,0,0,574,369,0,0,3492
289,12630,6731,15053,8236,0,289,0,2774,0,0,576,370,0,0,3504
290,12673,6754,15105,8265,0,290,0,2784,0,0,578,371,0,0,3516
291,12716,6777,15156,8293,0,291,0,2793,0,0,580,373,0,0,3528
292,12758,6800,15207,8322,0,292,0,2803,0,0,582,374,0,0,3540
293,12801,6824,15258,8350,0,293,0,2812,0,0,584,375,0,0,3552
294,12844,6847,15310,8379,0,294,0,2822,0,0,586,377,0,0,3564
295,12887,6870,15361,8407,0,295,0,2832,0,0,588,378,0,0,3576
296,12929,6894,15412,8436,0,296,0,2841,0,0,590,379,0,0,3588
297,12972,6917,15464,8464,0,297,0,2851,0,0,592,380,0,0,3600
298,13015,6940,15515,8493,0,298,0,2860,0,0,594,382,0,0,3612
299,13058,6963,15566,8521,0,299,0,2870,0,0,596,383,0,0,3624
300,13100,6987,15618,8550,0,300,0,2880,0,0,598,384,0,0,3636
301,13143,7010,15669,8578,0,301,0,2889,0,0,600,385,0,0,3648
302,13186,7033,15720,8607,0,302,0,2899,0,0,602,387,0,0,3660
303,13229,7057,15771,8635,0,303,0,2908,0,0,604,388,0,0,3672
304,13271,7080,15823,8664,0,304,0,2918,0,0,606,389,0,0,3684
305,13314,7103,15874,8692,0,305,0,2928,0,0,608,391,0,0,3696
306,13357,7127,15925,8721,0,306,0,2937,0,0,610,392,0,0,3708
307,13400,7150,15977,8749,0,307,0,2947,0,0,612,393,0,0,3720
308,13442,7173,16028,8778,0,308,0,2956,0,0,614,394,0,0,3732
309,13485,7196,16079,8806,0,309,0,2966,0,0,616,396,0,0,3744
310,13528,7220,16131,8835,0,310,0,2976,0,0,618,397,0,0,3756
311,13571,7243,16182,8863,0,311,0,2985,0,0,620,398,0,0,3768
312,13613,7266,16233,8892,0,312,0,2995,0,0,622,400,0,0,3780
313,13656,7290,16284,8920,0,313,0,3004,0,0,624,401,0,0,3792
314,13699,7313,16336,8949,0,314,0,3014,0,0,626,402,0,0,3804
315,13742,7336,16387,8977,0,315,0,3024,0,0,628,403,0,0,3816
316,13784,7359,16438,9006,0,316,0,3033,0,0,630,405,0,0,3828
317,13827,7383,16490,9034,0,317,0,3043,0,0,632,406,0,0,3840
318,13870,7406,16541,9063,0,318,0,3052,0,0,634,407,0,0,3852
319,13913,7429,16592,9091,0,319,0,3062,0,0,636,408,0,0,3864
320,13955,7453,16644,9120,0,320,0,3072,0,0,638,410,0,0,3876
321,13998,7476,16695,9148,0,321,0,3081,0,0,640,411,0,0,3888
322,14041,7499,16746,9177,0,322,0,3091,0,0,642,412,0,0,3900
323,14084,7522,16797,9205,0,323,0,3100,0,0,644,414,0,0,3912
324,14126,7546,16849,9234,0,324,0,3110,0,0,646,415,0,0,3924
325,14169,7569,16900,9262,0,325,0,3120,0,0,648,416,0,0,3936
326,14212,7592,16951,9291,0,326,0,3129,0,0,650,417,0,0,3948
327,14255,7616,17003,9319,0,327,0,3139,0,0,652,419,0,0,3960
328,14297,7639,17054,9348,0,328,0,3148,0,0,654,420,0,0,3972
329,14340,7662,17105,9376,0,329,0,3158,0,0,656,421,0,0,3984
330,14383,7686,17157,9405,0,330,0,3168,0,0,658,422,0,0,3996
331,14426,7709,17208,9433,0,331,0,3177,0,0,660,424,0,0,4008
332,14468,7732,17259,9462,0,332,0,3187,0,0,662,425,0,0,4020
333,14511,7755,17310,9490,0,333,0,3196,0,0,664,426,0,0,4032
334,14554,7779,17362,9519,0,334,0,3206,0,0,666,428,0,0,4044
335,14597,7802,17413,9547,0,335,0,3216,0,0,668,429,0,0,4056
336,14639,7825,17464,9576,0,336,0,3225,0,0,670,430,0,0,4068
337,14682,7849,17516,9604,0,337,0,3235,0,0,672,431,0,0,4080
338,14725,7872,17567,9633,0,338,0,3244,0,0,674,433,0,0,4092
339,14768,7895,17618,9661,0,339,0,3254,0,0,676,434,0,0,4104
340,14810,7918,17670,9690,0,340,0,3264,0,0,678,435,0,0,4116
341,14853,7942,17721,9718,0,341,0,3273,0,0,680,436,0,0,4128
342,14896,7965,17772,9747,0,342,0,3283,0,0,682,438,0,0,4140
343,14939,7988,17823,9775,0,343,0,3292,0,0,684,439,0,0,4152
344,14981,8012,17875,9804,0,344,0,3302,0,0,686,440,0,0,4164
345,15024,8035,17926,9832,0,345,0,3312,0,0,688,442,0,0,4176
346,15067,8058,17977,9861,0,346,0,3321,0,0,690,443,0,0,4188
347,15110,8081,18029,9889,0,347,0,3331,0,0,692,444,0,0,4200
348,15152,8105,18080,9918,0,348,0,3340,0,0,694,445,0,0,4212
349,15195,8128,18131,9946,0,349,0,3350,0,0,696,447,0,0,4224
350,15238,8151,18183,9975,0,350,0,3360,0,0,698,448,0,0,4236
351,15281,8175,18234,10003,0,351,0,3369,0,0,700,449,0,0,4248
352,15323,8198,18285,10032,0,352,0,3379,0,0,702,450,0,0,4260
353,15366,8221,18336,10060,0,353,0,3388,0,0,704,452,0,0,4272
354,15409,8244,18388,10089,0,354,0,3398,0,0,706,453,0,0,4284
355,15452,8268,18439,10117,0,355,0,3408,0,0,708,454,0,0,4296
356,15494,8291,18490,10146,0,356,0,3417,0,0,710,456,0,0,4308
357,15537,8314,18542,10174,0,357,0,3427,0,0,712,457,0,0,4320
358,15580,8338,18593,10203,0,358,0,3436,0,0,714,458,0,0,4332
359,15623,8361,18644,10231,0,359,0,3446,0,0,716,459,0,0,4344
360,15665,8384,18696,10260,0,360,0,3456,0,0,718,461,0,0,4356
361,15708,8408,18747,10288,0,361,0,3465,0,0,720,462,0,0,4368
362,15751,8431,18798,10317,0,362,0,3475,0,0,722,463,0,0,4380
363,15794,8454,18849,10345,0,363,0,3484,0,0,724,464,0,0,4392
364,15836,8477,18901,10374,0,364,0,3494,0,0,726,466,0,0,4404
365,15879,8501,18952,10402,0,365,0,3504,0,0,728,467,0,0,4416
366,15922,8524,19003,10431,0,366,0,3513,0,0,730,468,0,0,4428
367,15965,8547,19055,10459,0,367,0,3523,0,0,732,470,0,0,4440
368,16007,8571,19106,10488,0,368,0,3532,0,0,734,471,0,0,4452
369,16050,8594,19157,10516,0,369,0,3542,0,0,736,472,0,0,4464
370,16093,8617,19209,10545,0,370,0,3552,0,0,738,473,0,0,4476
